id,name,article_length,versions,editors,inbound_links
0,Darwyn Cooke,5813,408,188,251
1,Daryl Coley,4562,265,101,69
2,Dave Bald Eagle,950,52,20,9
3,Dave Durie,3277,51,28,19
4,Dave Heath,1106,25,10,25
5,Dave Mirra,3887,904,543,172
6,Dave Needle,726,37,19,37
7,Dave Pacey,612,32,23,14
8,Dave Schwartz,1193,31,26,10
9,Dave Sime,4343,106,69,188
10,Dave Swarbrick,13910,422,197,229
11,Dave Syrett,349,20,16,6
12,Dave Thomson (footballer),359,17,10,10
13,David A. Katz,759,34,19,19
14,David Abbott (cricket umpire),476,7,7,4
15,David Attwooll,1895,36,7,34
16,David Baker (composer),4815,156,115,102
17,David Beresford (journalist),2018,38,27,13
18,David Blackburn (artist),8842,87,29,14
19,David Boykett,1071,27,22,14
20,David Budbill,3444,69,44,27
21,David Cañada,626,68,47,54
22,David Chatters,1357,78,40,39
23,"David Coleman (footballer, born 1942)",829,14,12,10
24,David Collischon,194,9,4,5
25,David Dore,1933,56,25,48
26,David Douglas (offensive lineman),488,15,7,23
27,"David Dudley Dowd, Jr.",1548,58,22,36
28,David Duffield (sports commentator),2363,59,38,7
29,David Egan,542,55,24,25
30,David Finkelstein,2292,101,70,44
31,David G. Hartwell,4289,272,98,198
32,David Gest,5574,1139,588,158
33,"David Green (cricketer, born 1939)",1853,40,29,22
34,David H. Porter,1977,76,24,22
35,David H. Trump,483,6,4,15
36,David Hall (chemist),1536,8,2,6
37,David Hall (Oklahoma governor),4644,255,114,93
38,David Hey,1581,9,4,85
39,David Huddleston,3652,289,171,122
40,David J. Hickson,1746,16,11,25
41,David Jenkins (bishop),5780,194,97,156
42,David John de Laubenfels,148,8,6,21
43,David S. Johnson,990,78,57,142
44,David Jones (Guernsey politician),1498,47,36,9
45,David K. Backus,813,24,7,13
46,David King (graphic designer),3901,63,30,15
47,David Kyle,1833,96,69,66
48,David Lake (writer),1774,44,30,25
49,David Lamb (journalist),1311,63,37,17
50,David Lavery,663,70,30,15
51,David M. Borden,5545,42,33,15
52,David M. Gates,199,18,7,4
53,David Margulies,1563,116,78,66
54,David McNiven Garner,2811,114,40,17
55,David McSkimming,2371,46,32,16
56,David Morgan (journalist),362,34,23,13
57,David Morgenthaler,6223,73,36,11
58,David Padilla,2090,70,52,102
59,David Page (musician),3260,17,8,23
60,David R. Brown (engineer),3248,36,15,8
61,David Rendel,2548,119,79,45
62,David S. Johnson,990,78,57,142
63,David Sloan (footballer),411,38,25,20
64,David Smyrl,2677,11,8,18
65,David Snellgrove,2740,89,39,43
66,David Spielberg,748,35,20,28
67,David Stride,1225,56,29,23
68,David Swift (actor),2610,171,112,73
69,David Tod Roy,7072,90,17,20
70,David Weinrib,1568,13,8,5
71,Davoud Rashidi,430,74,50,37
72,Davy Walsh,6138,83,53,58
73,Dean White (businessman),1206,105,61,13
74,Debbie Smith (Nevada politician),721,52,33,21
75,Deborah S. Jin,1385,147,81,45
76,Deepak Shodhan,3637,69,38,29
77,Del Latta,2045,102,64,120
78,Delmer Berg,2372,82,31,19
79,Delphine Parrott,2357,52,19,35
80,Demmus Hentze,1621,9,4,7
81,Dene Smuts,2358,55,26,15
82,Denis Atkins,281,42,20,26
83,Denis Dubourdieu,1741,47,24,16
84,Denis Foreman,431,13,9,8
85,Denis Hardy (politician),768,6,3,6
86,Denise Bernot,425,50,29,17
87,Denise Duval,4888,51,30,32
88,Denise Newman,1086,19,8,4
89,Denise Robertson,2951,208,135,38
90,Dennis Akumu,136,6,6,2
91,Dennis Davis,1332,127,86,108
92,Dennis Hackett,1444,13,9,13
93,Dennis M. Jones,9048,64,20,9
94,Dennis Nineham,2176,45,26,24
95,Dennis Riggin,377,28,13,17
96,Dennis Shryack,2345,11,6,20
97,Denys Carnill,7216,19,15,10
98,Derek Hatfield,390,9,6,4
99,Derek Smith (musician),3044,51,32,33
100,Derek Wilson,2384,102,53,21
101,Derrick Rochester,2288,9,5,4
102,Derrick Todd Lee,6241,304,180,44
103,Des O'Reilly,293,8,3,26
104,Des Rea,2070,29,18,11
105,Desmond Clarke,940,73,48,31
106,Destin Onka Malonga,764,44,33,18
107,Detlev Blanke,2032,43,25,16
108,Deva Dassy,2984,12,7,7
109,Devarakonda Vittal Rao,762,77,46,33
110,DeWitt Williams,507,7,6,4
111,Diana Mitchell,2008,9,2,13
112,Dick Alban,2541,63,35,33
113,Dick Assman,2059,264,180,63
114,Dick Bradsell,1044,50,21,15
115,Dick Corballis,1808,5,4,8
116,Dick Donnelly,857,11,6,6
117,Dick Estell,1813,53,29,12
118,"Dick Hodgins, Jr.",1690,36,24,12
119,Dick Hudson,678,39,21,77
120,Dick McAuliffe,5568,174,75,115
121,Dick Spady,358,16,12,5
122,Dick Yoder,840,41,28,12
123,Didargylyç Urazow,662,83,53,50
124,Didier Bellens,3407,71,46,18
