name
Nauyane Ariyadhamma Mahathera
Nayani Krishnakumari
Neculai Alexandru Ursu
Neculai Rățoi
Ned Miller
Neelabh Ashk
Neelamraju Ganga Prasada Rao
Neil Berry (baseball)
Neil Black
Neil Wilkinson (footballer)
Neill Armstrong
Nelson Davidyan
Nera White
Nestori Kaasalainen
Nev Hewitt
Neville Black
Neville Crowe
Ngala Mwendwa
Nguyen Anh 9
Nicholas Caldwell
Nicholas Fisk
Nicholas Gargano
Nicholas Hood
Nicholas Scoppetta
Nick Lashaway
Nick Menza
Nicky Jennings
Nico de Bree
Nicola Abu Raed
Nicola Tanda
Nicolae Bocșan
Nicolae Esinencu
Nicolás García Uriburu
Nicolas Noxon
Nicolas Tikhomiroff
Nicolau Breyner
Nicolaus Zwetnow
Nicole Courcel
Nicole Maurey
Nida Fazli
Nigel Gray
Nigel Peel
Nihal Ahmed Maulavi Mohammed Usman
Niki Tobi
Nikita Struve
Niklaus Schilling
Nikola Anastasov
Nikolaus Harnoncourt
Nikolaus Messmer
Nikolay Abramov
Nil Hilevich
Nina Arkhipova
Nina Dorda
Nina Hole
Nina Ponomaryova
Nina Yeryomina
Nine Culliford
Nivaria Tejera
Noel Harding
Noel Neill
Noela Hjorth
Noelle Middleton
Noémia Delgado
Noh Jin-kyu
Nora Dean
Norbert Kröcher
Norbert Schemansky
Norbert Thériault
Noreen Corcoran
Noriah Kasnon
Noriko Nishimoto
Norm Hadley
Norm Johnson (ice hockey)
Norm Wolfinger
Norma Levy Shapiro
Norma Moriceau
Norman Abbott
Norman Guthkelch
Norman Hudis
Norman Kwong
Norman Longmate
Norman MacAuley
Norman May
Norman Tait
Norman Twain
Novella Matveyeva
Nuri Gezerdaa
Nurjahan Begum
O. N. V. Kurup
Odo Fusi Pecci
Ofelya Hambardzumyan
Ogden Mills Phipps
Oh Se-jong
Ojārs Grīnbergs
OJB Jezreel
Ojo Maduekwe
Olamide David
Olav Djupvik
Oleg Eremeev
Oleg Karavaychuk
Oleg Syrokvashko
Oleksandr Shevchenko
Oleksiy Logvynenko
Olle Ljungström
Omar Mateen
Ondrej Binder
Orest Subtelny
Orison Rudolph Aggrey
Orlando Álvarez
"Orville Gilbert Brim, Jr."
Oscar Brand
Oscar Camilión
Oscar Celli Gerbasi
Oscar Fritschi
Óscar Humberto Mejía Victores
Óscar Marcelino Álvarez
Oscar Obert
Oscar Páez Garcete
Oscar Whitbread
Oscar Wiggli
Otis Clay
Ottavio Bugatti
Otto-Werner Mueller
Ove Verner Hansen
Ovie Scurlock
Oya Aydoğan
Ozzie Silna
P. A. Sangma
P. J. Mara
P. K. Nair
P. Kannan
P. M. K. Raghunath
P.V. Guharaj
Pablo Contessi
Pablo Lucio Vasquez
Pablo Manavello
Paco Cano
Paddy Doherty (activist)
Paddy Kehoe
Paddy O'Brien (Gaelic footballer)
Paddy O'Flaherty
Paddy Phelan
Paddy Philpott
Paddy Reid
Padmarani
Pam Royds
Panagiotis Mavrikos
Panayiotis Tetsis
Panchu Arunachalam
Pantelis Pantelidis
Paolo Giglio
Paolo Leon
Paolo Maria Napolitano
Paolo Poli
Papa Wemba
Parveen Sultana Diti
Parwati Soepangat
Pascal Bentoiu
Pat Harrington Jr.
Pat Piper (politician)
Pat Sobeski
Pat Suggate
Patrice Munsel
Patricia English
Patricia M. Derian
Patricia Thompson (writer)
Patricio Aylwin
Patrick Cain
Patrick Connolly
Patrick Crofton
Patrick Deuel
Patrick Ekeng
Patrick Fabionn Lopes
Patrick J. O'Donnell
Patrick Jourdain
Patrick Lalor
Patrick Manning
"Patrick Mayhew, Baron Mayhew of Twysden"
"Patrick Neill, Baron Neill of Bladen"
Patti Grace Smith
Paul A. Paddock
Paul Annear
Paul Augustin Aizpiri
Paul Bannon
Paul Bley
Paul Boutelle
Paul Busiek
Paul Byttebier
Paul Carey (broadcaster)
Paul Colinvaux
Paul Comi
Paul Couch
Paul Cox
Paul Dade
Paul Daniels
Paul Frantz
Paul Friedrich (linguist)
Paul Fung Jr.
Paul Gordon (musician)
Paul Hisao Yasuda
Paul Jetton
Paul Johnson (ice hockey)
Paul Kantner
Paul Kraabel
Paul Landreaux
Paul Lange (canoeist)
Paul McDowell (actor)
Paul Pholeros
Paul Ryan (cartoonist)
Paul Smoker
Paul T. Gillcrist
Paul Terasaki
Paul Thyness
Paul Webley
Paul Wühr
Paule Gauthier
Paul-Marie François Rousset
Paulo Barreto Menezes
Paulo Emilio
Pavel Chernev
Pavel Sheremet
Pedro de Felipe
Peggy Anderson
Peggy Fortnum
Peggy Spencer
Peggy Willis-Aarnio
Pehin Dato Haji Sulaiman Bin Haji Awang Damit
Pelle Gudmundsen-Holmgreen
Penny Lang
Per Beskow
Per Brandtzæg
Per G. Malm
Per Hovdenakk
Per Lønning
Per Øien
Percy Beake
Percy Freeman
"Peregrine Eliot, 10th Earl of St Germans"
Perry O. Hooper Sr.
Per-Simon Kildal
Pete Carmichael
Pete Fountain
Pete Huttlinger
Pete Kapusta
Pete Yellin
Pete Zorn
Peter Atteslander
"Peter Baker (footballer, born 1931)"
Peter Barry
Peter Behrens
Peter Blundell Jones
Peter Bottome
Peter Brown (actor)
Peter Collingwood
Peter deCourcy Hero
Peter DeTroy
Péter Esterházy
Peter Feuchtwanger
Peter Gavin Hall
Peter Hutton (filmmaker)
Peter J. Jannetta
Peter J. Liacouras
Peter Janich
Peter Johnson (rugby)
Peter Jost
Peter Kavanagh (producer)
Peter Leo Gerety
Peter Lerche
Peter Lustig
Peter Marlow (photographer)
Peter Martell
Peter Mathias
Peter Mondavi
Peter Morley (filmmaker)
"Peter N. Perretti, Jr."
Peter Naur
Peter Oresick
Peter Owen (publisher)
Peter Paul Brennan
Peter Pettalia
Peter Powell (kite)
Peter Propping
Peter Quinn (Gaelic footballer)
Peter Robinson (New Zealand musician)
Peter Rock (musician)
Peter Ruckman
Peter Sellers (broadcaster)
Peter Stein (legal scholar)
Peter Tennant (cricketer)
Peter Thomas (announcer)
Peter van der Merwe
Peter Wenger
Peter Wood (director)
Petra Davies
Petro Herkulan Malchuk
Petru Mocanu
Petru Soltan
Phanor Arizabaleta-Arzayus
Phil Gartside
Phil Hennigan
Phil Ryan (musician)
Phil Sayer
Philip A. Kuhn
