name
Johan van Minnen
John Alan Robinson
John Arnold Baker
John B. Mansbridge
"John Baillie-Hamilton, 13th Earl of Haddington"
John Baptist Kakubi
John Bennett (hurler)
John Bentley Mays
John Binotto
John Boreland
John Brademas
John Bradshaw (author)
"John Brooks, Baron Brooks of Tremorfa"
John Brophy
John Brudenall (librarian)
John C. Baldwin
John Caldwell (cartoonist)
John Caldwell (demographer)
"John Cameron, Lord Coulsfield"
John Cannon (rugby union)
John Carlson (sportscaster)
"John Charles Harding, 2nd Baron Harding of Petherton"
John Chilton
John Coleman Moore
John Corcoran
John Coyle
John D. Loudermilk
John David Jackson (physicist)
John Disley
"John Douglas, 21st Earl of Morton"
John Dowie (footballer)
John Drysdale (historian)
John Easter
John Ellenby
John Ene Okon
"John Evans, Baron Evans of Parkside"
John F. G. Howe
John Farquharson
John Farris (poet and novelist)
John Ferrone
John Fischer (pianist)
"John Fox (cricketer, born 1929)"
John Gagnon
John Garrow
John Garton
John Gudenus
John Gutfreund
John H. Eicher
John H. Flood
John H. Moore
John Harvard (politician)
John Hirst (historian)
John Hofsess
John Hope (footballer)
John Horgan (hurler)
John Hostetter
John Imbrie
John J. Craighead
John J. McGlynn
John J. Pruis
John J. Santucci
John Jay Hooker
John Johnson (trainer)
John Johnson (basketball)
John Jones (academic)
John Jones (water polo)
John Kaye (politician)
John Keith Wells
John Kerr (author)
John Kidd (Paralympian)
"John King (footballer, born 1938)"
John Krish
John L. Tishman
John Love (scientist)
John Lumsden (footballer)
John Lyons (trade unionist)
John Madey
John McConathy
John McDade Howell
John McKibbin
John McLaughlin (host)
John McMartin
"John Middleton (footballer, born 1956)"
John Miller (Virginia politician)
John Mills (writer)
John Minney
John Morphett
John Mulvaney
John O'Rourke (footballer)
John P. Riley Jr.
John Pennebaker
John Philip Kassebaum
John Pidgeon
John R. Coleman
John Reid (bishop)
John Reinhardt
John Ridsdel
"John Roberts (footballer, born 1946)"
"John Roper, Baron Roper"
John Siddons
John Sisko
John Spencer (businessman)
John Stabb
John Steven Satterthwaite
John Stevens (crime reporter)
John Stokes (mountaineer)
John Taihuttu
John Taylor (bishop of St Albans)
John Timoney
John Urry (sociologist)
