name
Abe Vigoda
Alan Rickman
Alvin Toffler
Anton Yelchin
Antonin Scalia
Arnold Palmer
Bill Dooley
Boutros Boutros-Ghali
Brooks Thompson
Buckwheat Zydeco
Buddy Cianci
C. B. Forgotston
Caroline Aherne
Cesare Maldini
Chyna
Conrad Burns
David Bowie
Dee Dowis
Dennis Green
Earl Hamner Jr.
Edward Albee
Frank Sinatra Jr.
Garry Shandling
Gene Wilder
George Curry (American football)
George Voinovich
Gordie Howe
Guido Westerwelle
Hagan Beggs
Harper Lee
Helen Delich Bentley
Imre Kertész
Islam Karimov
James M. Nederlander
João Havelange
Joe Garagiola Sr.
Johan Cruyff
John Saunders (journalist)
Keith Emerson
Kenny Baker (English actor)
Kimbo Slice
Lawrence Phillips
Lev Nikolayevich Korolyov
Lou Michaels
Marion Christopher Barry
Merle Haggard
Michael Cimino
Michael S. Harper
Miss Cleo
Morley Safer
Mother Angelica
Nancy Reagan
Nimr al-Nimr
Pat Conroy
Pat Summitt
Patty Duke
Phife Dawg
Phyllis Schlafly
Prince (musician)
Ralph David Abernathy III
Rob Ford
Rudy Van Gelder
Seymour Papert
Terry Wogan
Solomon W. Golomb
Susannah Mushatt Jones
Ted Marchibroda
The Lady Chablis
Tim LaHaye
Umberto Eco
Wesley A. Clark
William Schallert
Willie L. Williams
A V. Christie
A. A. Raiba
A. C. Jose
A. C. Tirulokchandar
A. F. M. Rezaul Karim Siddique
A. Gordon Wetmore
A. K. N. Ahmed
A. R. Surendran
Aar de Goede
Aarne Honkavaara
Aaron W. Plyler
Abbas Bahri
Abbas Kiarostami
Abbas Vaez-Tabasi
Abd al-Rahman Fakhri
Abdel-Bari Zamzami
Abderrahmane Meziani
Abdul Baqi Jammoh
Abdul Jeelani
Abdul Rahman Al-Hanaqtah
Abdul Rashid Khan
Abdul Sattar Edhi
Abdullah Ahmad
Abe Goldberg
Abe Segal
Abel Dhaira
Abel Fernandez
Abner J. Mikva
Abolhassan Najafi
Aboud Jumbe
Abram Cohen
Abu Ali al-Anbari
Abu Firas al-Suri
Abu Layla
Abu Mohammad al-Adnani
Abu Omar al-Shishani
Abu Waheeb
Abu Wardah
Achille Casanova
Achim Mentzel
Achyut Lahkar
Adam Bielański
Adam Dziewonski
Adam Kelly Ward
Ádám Rajhona
Adam Small (writer)
Adam Żurowski
Adán Nigaglioni Loyola
Addepalli Ramamohana Rao
Adelina Dematti de Alaye
Adelmar Faria Coimbra-Filho
Adi Sasono
Adlan Varayev
Adnan Abu Hassan
Adolf Born
Adolph Cornelis van Bruggen
"Adrian Berry, 4th Viscount Camrose"
Adrian Enescu
Adrian Flowers
Adrian Greenwood
Adrian Hardiman
Adrian Monger
Adriana Benetti
Adriana Innocenti
Adrienne Corri
Aduke Alakija
Afeni Shakur
Aftab Ghulam Nabi Kazi
Agapito Robleda Castro
Agata Karczmarek
Agha Nasir
Agha Saleem
Agnes Nixon
Agniva Lahiri
Agostino Coletto
Aharon Ipalé
Aharon Megged
Ahmed Baba Miské
Ahmed Brahim (Tunisian politician)
Ahmed Refai Taha
Ahmed Zewail
Akbar Ali
Akbar Kakkattil
Akhlaqur Rahman Kidwai
Akhtar Mansour
Akira Tago
Al Ferrari
Al Hart
Al Howie
Al Libous
Al Wistert
Alain Decaux
Alan Bates (politician)
Alan Brice
Alan Carter (civil servant)
Alan Cousin
Alan Cuthbert
Alan Dossor
Alan Goldberg (judge)
Alan Haven
Alan Henry
Alan Hurd
Alan Lewis (footballer)
Alan Loveday
Alan Rathbone
"Alan Smith (footballer, born 1939)"
Alan Spavin
Alan Vega
Alan Young
Alastair Biggar
Alastair Duncan (army officer)
Alavi Moulana
Alba Solís
Albert Filozov
Albert Gubay
Albert Hofstede
Albert M. Sackett
Albert Nicholas (CEO)
Albert Onyembo Lomandjo
"Albert Rhoton, Jr"
Alberto Iniesta Jiménez
Alberto Remedios
Alcibíades Colón
Alcindo
Aldo Bufi Landi
Aldo Ferrer
Aldo Monti
Aldo Ralli
Alejandro Jano Fuentes
Alejandro Muñoz-Alonso
Aleksei Zharkov
Aleš Debeljak
Alessandro Ghinami
Alethea McGrath
Alex de Jesús
Alex Govan
Alex Hickman
Alex Tamba Brima
Alex Timpson
Alexander Esenin-Volpin
Alexander Gorlov
Alexander Gutman
Alexander Kanengoni
Alexander Litaay
Alexander O. Shirley
Alexander Prokhorenko
Alexandre Astruc
Alexandre Reza
Alexandru Lăpușan
Alexandru Vulpe
Alexis Arquette
Alexis Navarro
Alfons Van den Brande
Alfonso Portugal
Alfred E. Mann
Alfred E. Senn
Alfred G. Knudson
Alfred Oftedal Telhaug
"Alfredo ""Chocolate"" Armenteros"
Alfredo Bowman
Alfredo Peña
Alfredo Sabbadin
Ali Ahmed Hussain Khan
Ali Baba (Sindhi writer)
Ali Beratlıgil
Ali Brownlee
Ali Javan
Ali Lazrak
Alice Arlen
Alice Pollitt
Alina Surmacka Szczesniak
Alirio Díaz
Alisa Bellettini
Alison Piepmeier
Allan Barnes
Allan Greenshields
Allan L. McCutcheon
Allan Michaelsen
Allan Paivio
Allan Rocher
Allen K. Ono
Allen Kelley
Allister Sparks
Alphie McCourt
Alphons Egli
Alphonse Liguori Chaupa
Alphonsus F. D'Souza
Alton Brown (baseball)
Álvaro Pérez Intriago
Álvaro Pérez Treviño
Alvera Mickelsen
Alvin Endt
Alvin J. DeGrow
Alvin Lubis
Alvise Zorzi
Alwin Albert Hafner
Alyson Bailes
Amal Dutta
Amanullah Khan (JKLF)
Amar Suloev
Amaury Epaminondas
Amber Gurung
Amber Rayne
Ambrose Hickey
Amby Fogarty
"Ameli, Duchess of Oldenburg"
Amelia Bence
Amjad Sabri
Amnon Linn
Ana Vieira
Anahid Ajemian
Ananda Chandra Dutta
Anatol Ciobanu
Anatol Dumitraș
Anatoli Grishin
Anatoli Ilyin
Anatoli Isayev
Anatoliy Kutsev
Anatoliy Polishchuk
Anatoly Roshchin
Anatoly Savin
Anđelko Klobučar
Andi Muhammad Ghalib
András Hajnal
András Prékopa
André Adam
André Bénard
André Boerstra
André Brahic
André Courrèges
André Dehertoghe
Andre Gambucci
André Guelfi
Andre Hajdu
André Isoir
André Mayamba Mabuti Kathongo
André Rousselet
André Turcat
André van den Heuvel
André Villers
André Warusfel
Andrea Maria Erba
Andreas Barkoulis
Andreas Henrisusanta
Andreas Peter Cornelius Sol
Andrés Hernández Ros
Andres Rodriguez (show jumper)
Andrew Florent
Andrew Glaze
Andrew Gotianun
Andrew Grove
Andrew Herxheimer
Andrew Hintz
Andrew L. Lewis Jr.
Andrew Smith (basketball)
Andries Kinsbergen
Andrzej Grabarczyk
Andrzej Kondratiuk
Andrzej Kotkowski
Andrzej Niemczyk
Andrzej Szymczak
Andrzej Tarkowski
Andrzej Żuławski
Andy Bathgate
Andy Dog Johnson
Andy Ganteaume
Andy Maurer
Andy Thompson
Ángel de Andrés López
Angel Gabriele
Angel Gelmi Bertocchi
Angela Flanders
Angela Goodwin
Angela Paton
Angela Raiola
Angelika Schrobsdorff
Angus Ross
Angus Scrimm
Aníbal Alzate
Aníbal José Chávez Frías
Anil Ganguly
Anil Salgaocar
Anisa Makhlouf
Anita Brookner
Anita Reeves
Anjan Dutta
Anker Jørgensen
Ann Atwater
Ann Cartwright DeCouto
Ann Day
Ann Emery
Ann Morgan Guilbert
Ann Smyrner
Ann Z. Caracristi
Anna Dewdney
Anna Kurska
Anna Lærkesen
Anna Synodinou
Anna-Leena Siikala
Annastasia Batikis
Anne Aasheim
Anne Atai Omoruto
Anne Balfour-Fraser
Anne Gould Hauberg
Anne Grommerch
Anne Jackson
Anne O'Brien (footballer)
Queen Anne of Romania
Anne van den Ban
Anne-Marie Nzié
Annet Nieuwenhuyzen
Annie Castledine
Annie Pootoogook
Anselmo López (musician)
Antanas Janauskas
Anthony Bird
Anthony Carrigan
Anthony D. Smith
Anthony Keane
Anthony Mellows
Anthony Simmons (writer)
Anthony Xu Ji-wei
Antoine Demoitié
Anton Barten
Anton Muheim
Anton Pronk
Anton Srholec
Antonella Steni
Antoni Asunción
Antonia Churchill
Antonín Rükl
Antonina Seredina
Antonino Fernández Rodríguez
Antonio Armstrong
António Barbosa de Melo
Antonio Cabangon Chua
Antonio Carrizo
Antonio Castellanos Mata
António de Almeida Santos
Antônio Eliseu Zuqueto
Antonio Imbert Barrera
António Mascarenhas Monteiro
Antonio Nuzzi
Antônio Pompêo
Antonio Soto Díaz
Antony Copley
Antony Emerson
Antony Gibbs
Antti Hyry
Anwar Ali Cheema
Aquilino Bonfanti
Archie Dees
Archie Gouldie
Archie Lang (actor)
Ardhendu Bhushan Bardhan
Arie Smit
Arif Beg
Ariffin Mohammed
Aristide von Bienefeldt
Arkangelo Bari Wanji
Arman Manaryan
Armando León Bejarano
Armando Loaiza
Arne Melchior
Arne Sandnes
Arnold Weiberg-Aurdal
Arnulfo Mejía Rojas
Arquimínio Rodrigues da Costa
Art Demmas
Arthur Anderson (actor)
Arthur Hiller
Arthur J. Aasland
Arthur Keily
Arthur Provis
Arthur S. Obermayer
Arthur Tunstall
Arthur Underwood
Arthur W. Walker
Artie L. Metcalf
Arto Koivisto
Artur Correia
Artur Fischer
Artur Górski
Arturo Pomar
Artyom Bezrodny
Arulraj Rosli
Arumugam Vijiaratnam
Arundhati Ghose
Arve Solstad
Asa Briggs
Asami Nagakiya
Asghar Bichareh
Asha Patil
Ashok Ghosh
Ashok Pai
Ashraf Pahlavi
Asım Can Gündüz
Aslam Farrukhi
Astrid Gunnestad
Asuquo Ekpe
Athanasius Atule Usuh
Atilio López
Atilla Manizade
Attila Ferjáncz
Attila Özdemiroğlu
Attrell Cordes
Aubrey McClendon
Audrey Disbury
Audrey Purton
August P. Mardesich
Augusto Giomo
Aurèle Nicolet
Austin Clarke (novelist)
Avigdor Ben-Gal
Avril Henry
Avrom Isaacs
Axel Schandorff
Axl Rotten
Ayaz Jani
B. Daniel Riley
B. E. Taylor
B. K. Garudachar
Baba Hardev Singh
Baby Dalupan
Bahman Golbarnezhad
Bairbre Dowling
Bajina Ramprasad
Balázs Birtalan
Balls Mahoney
Balraj Madhok
Balram Jakhar
Balu Anand
